date,no tickets sol,sell_amt,purchase_amt,Ratio,no tickets sol * Ratio,norm_ratio,norm_ratio_cum_sum,norm_ratio*1000,no tickets sol_cumsum,actual_cumsum_ratio
2021-12-14,99,60.627878787878785,84.4683366969697,0.71775864375525,71.05810573176976,0.0004840885809147959,0.030164279067111388,0.4840885809147959,6272,0.042647808792030735
2021-12-15,348,145.27704022988505,112.09392912068967,1.2960295117630116,451.01827009352803,0.0030725951963930065,0.03323687426350439,3.0725951963930065,6620,0.04501410940740489
2021-12-17,509,106.37703339882123,106.83582253045186,0.9957056620077047,506.8141819619217,0.0034527089570831056,0.0366895832205875,3.4527089570831055,7129,0.04847516404311019
2021-12-18,1591,152.03892520427405,112.96173695851665,1.3459329618852076,2141.379342359365,0.014588304548337221,0.05127788776892472,14.588304548337222,8720,0.05929350967259375
2021-12-19,871,158.57607347876007,112.83879621239954,1.4053329067802887,1224.0449618056314,0.008338896490896308,0.059616784259821025,8.338896490896309,9591,0.06521606092544113
2021-12-20,270,128.70481481481482,111.43213333333333,1.1550062891626847,311.85169807392487,0.0021245126706069847,0.06174129693042801,2.124512670606985,9861,0.0670519838166797
2021-12-21,762,180.88330708661417,110.31991163910762,1.6396251991058732,1249.3944017186755,0.00851159141807059,0.07025288834849859,8.511591418070589,10623,0.07223336619861966
2021-12-22,1774,148.83184892897407,109.62136001747463,1.3576902248361902,2408.5424588594014,0.016408372964282256,0.08666126131278085,16.408372964282254,12397,0.08429605956549825
2021-12-23,1212,164.98992574257426,112.4748190330033,1.4669054563596278,1777.889413107869,0.012112002623087547,0.0987732639358684,12.112002623087546,13609,0.09253731343283582
2021-12-24,1502,163.86702396804262,108.6124838009321,1.508731024588136,2266.11399893138,0.015438068586781668,0.11421133252265006,15.438068586781668,15111,0.10275048447965185
2021-12-25,118,57.04,101.4636158220339,0.5621719622139975,66.3362915412517,0.00045192087383490854,0.11466325339648496,0.45192087383490853,15229,0.10355285078026723
2021-12-26,261,81.19,115.76872541762452,0.7013120314412628,183.04244020616957,0.0012469901106154796,0.11591024350710044,1.2469901106154795,15490,0.10532757624179784
